FECHA,ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
2023-08-26,3106.0,3.0,11.0,6211.0,25.0,18.0,2.0,2.0,L,L,L,L,L,
2023-08-26,3106.0,3.0,11.0,6211.0,25.0,18.0,2.0,2.0,L,L,L,L,L,
2023-08-26,3106.0,3.0,11.0,6211.0,25.0,18.0,2.0,2.0,L,L,L,L,L,
2023-08-26,3069.0,10.0,9.0,12568.0,171.0,100.0,7.0,1.0,L,L,L,L,L,
2023-08-26,3069.0,10.0,9.0,12568.0,171.0,100.0,7.0,3.0,L,L,L,L,L,
2023-08-26,3069.0,10.0,9.0,12568.0,111.0,57.0,8.0,4.0,L,L,L,L,L,
2023-08-26,3069.0,10.0,9.0,12568.0,111.0,57.0,8.0,4.0,L,L,L,L,L,
2023-08-27,3069.0,10.0,9.0,12568.0,111.0,57.0,8.0,4.0,L,L,L,L,L,
2023-08-27,3069.0,10.0,9.0,12568.0,111.0,57.0,8.0,4.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,2.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,2.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,2.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,2.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,2.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,2.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,2.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,2.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,4.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,4.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,4.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,4.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,4.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,4.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,4.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,181.0,117.0,1.0,4.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-25,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-26,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-26,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-27,3132.0,2.0,3.0,5574.0,82.0,43.0,1.0,2.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
2023-08-27,3055.0,10.0,1.0,12131.0,52.0,45.0,9.0,1.0,L,L,L,L,L,
