FECHA,ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,1.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-11-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-12-08,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-17,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-08-28,3015.0,13.0,2.0,15701.0,176.0,140.0,8.0,2.0,L,L,L,L,L,
2023-10-08,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-10-08,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-10-08,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-10-08,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-12-08,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-12-08,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-12-08,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-12-08,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-08-17,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-08-17,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-08-17,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-08-17,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-08-28,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-08-28,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-08-28,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-08-28,3011.0,5.0,3.0,7769.0,50.0,34.0,4.0,1.0,L,L,L,L,L,
2023-08-28,3018.0,18.0,2.0,22487.0,77.0,56.0,5.0,1.0,L,L,L,L,L,
2023-08-28,3018.0,18.0,2.0,22487.0,77.0,56.0,5.0,1.0,L,L,L,L,L,
2023-08-28,3018.0,18.0,2.0,22487.0,77.0,56.0,5.0,1.0,L,L,L,L,L,
2023-08-28,3018.0,18.0,2.0,22487.0,77.0,56.0,5.0,1.0,L,L,L,L,L,
2023-08-28,3018.0,18.0,2.0,22487.0,77.0,56.0,5.0,1.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-26,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-27,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-27,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-27,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-27,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-27,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-27,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-27,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-29,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-29,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-29,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-29,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-29,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-29,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-29,3041.0,21.0,3.0,24570.0,47.0,26.0,8.0,2.0,L,L,L,L,L,
2023-08-29,3085.0,4.0,1.0,6378.0,1.0,1.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3085.0,4.0,1.0,6378.0,1.0,1.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3085.0,4.0,1.0,6378.0,1.0,1.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3085.0,4.0,1.0,6378.0,1.0,1.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3085.0,4.0,1.0,6378.0,1.0,1.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3085.0,4.0,1.0,6378.0,1.0,1.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3085.0,4.0,1.0,6378.0,1.0,1.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3085.0,4.0,1.0,6378.0,1.0,1.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3085.0,4.0,1.0,6378.0,1.0,1.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3080.0,2.0,1.0,5485.0,152.0,128.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3080.0,2.0,1.0,5485.0,152.0,128.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3080.0,2.0,1.0,5485.0,152.0,128.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3080.0,2.0,1.0,5485.0,152.0,128.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3080.0,2.0,1.0,5485.0,152.0,128.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3080.0,2.0,1.0,5485.0,152.0,128.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3080.0,2.0,1.0,5485.0,152.0,128.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3080.0,2.0,1.0,5485.0,152.0,128.0,1.0,1.0,L,L,L,L,L,
2023-08-29,3110.0,9.0,9.0,11337.0,187.0,103.0,8.0,1.0,L,L,L,L,L,
2023-08-29,3110.0,9.0,9.0,11337.0,187.0,103.0,8.0,1.0,L,L,L,L,L,
2023-08-29,3110.0,9.0,9.0,11337.0,187.0,103.0,8.0,1.0,L,L,L,L,L,
2023-08-24,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-24,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-25,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-25,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-27,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-27,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-27,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-27,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-27,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-27,3019.0,11.0,7.0,13384.0,37.0,30.0,2.0,2.0,L,L,L,L,L,
2023-08-29,3032.0,1.0,31.0,3686.0,199.0,128.0,7.0,1.0,L,L,L,L,L,
2023-08-29,3032.0,1.0,31.0,3686.0,199.0,128.0,7.0,1.0,L,L,L,L,L,
